Token,Position in ST
PROGRAM,"(-1,-1)"
MAIN,"(-1,-1)"
->,"(-1,-1)"
{,"(-1,-1)"
DECLARATIONS,"(-1,-1)"
INTEGER,"(-1,-1)"
:,"(-1,-1)"
identifier,"(8,0)"
<-,"(-1,-1)"
constant,"(4,0)"
-,"(-1,-1)"
constant,"(22,0)"
",","(-1,-1)"
identifier,"(9,0)"
",","(-1,-1)"
identifier,"(10,0)"
",","(-1,-1)"
identifier,"(24,0)"
;,"(-1,-1)"
STRING,"(-1,-1)"
:,"(-1,-1)"
identifier,"(25,0)"
<-,"(-1,-1)"
constant,"(17,0)"
;,"(-1,-1)"
STATEMENTS,"(-1,-1)"
{,"(-1,-1)"
in,"(-1,-1)"
>>,"(-1,-1)"
identifier,"(8,0)"
",","(-1,-1)"
identifier,"(9,0)"
",","(-1,-1)"
identifier,"(10,0)"
;,"(-1,-1)"
if,"(-1,-1)"
(,"(-1,-1)"
identifier,"(8,0)"
<,"(-1,-1)"
identifier,"(9,0)"
),"(-1,-1)"
identifier,"(24,0)"
<-,"(-1,-1)"
identifier,"(8,0)"
;,"(-1,-1)"
else,"(-1,-1)"
identifier,"(24,0)"
<-,"(-1,-1)"
identifier,"(9,0)"
;,"(-1,-1)"
if,"(-1,-1)"
(,"(-1,-1)"
identifier,"(10,0)"
<,"(-1,-1)"
identifier,"(24,0)"
),"(-1,-1)"
identifier,"(24,0)"
<-,"(-1,-1)"
identifier,"(10,0)"
;,"(-1,-1)"
out,"(-1,-1)"
<<,"(-1,-1)"
identifier,"(25,0)"
",","(-1,-1)"
identifier,"(24,0)"
;,"(-1,-1)"
},"(-1,-1)"
},"(-1,-1)"
